item,itemLabel,SECcode,LSGcode,LGDcode
http://www.wikidata.org/entity/Q101206072,Kuduppamkuzhi,G14016007,,
http://www.wikidata.org/entity/Q101206220,Beembumgal,G14006005,,
http://www.wikidata.org/entity/Q101206229,Munnad,G14006012,,
http://www.wikidata.org/entity/Q101206339,Mukkood,G14023023,,
http://www.wikidata.org/entity/Q101206228,Vavadukkam,G14006011,,
http://www.wikidata.org/entity/Q101205781,Aithanadka,G14002007,,
http://www.wikidata.org/entity/Q101205784,Natakkal,G14002010,,
http://www.wikidata.org/entity/Q101206080,Beejanthadka,G14016010,,
http://www.wikidata.org/entity/Q101206069,Kedenji,G14016006,,
http://www.wikidata.org/entity/Q101206230,Ambilady,G14006013,,
http://www.wikidata.org/entity/Q101206088,Kanyappady,G14016013,,
http://www.wikidata.org/entity/Q101206218,Maruthadukkam,G14006003,,
http://www.wikidata.org/entity/Q101206317,Madiyan,G14023004,,
http://www.wikidata.org/entity/Q101206351,Konnakkadu,G14029009,,
http://www.wikidata.org/entity/Q101429130,Chiyyaram South ward,C08004032,,
http://www.wikidata.org/entity/Q101206315,Ramagiri,G14023002,,
http://www.wikidata.org/entity/Q13114977,Shoranur Municipality,M09038,M090200,252174
http://www.wikidata.org/entity/Q101206343,Balal,G14029003,,
http://www.wikidata.org/entity/Q25585458,Kothamangalam Municipality,M07023,M070200,252231
http://www.wikidata.org/entity/Q101205783,Bellur,G14002009,,
http://www.wikidata.org/entity/Q101205774,Indumoola,G14002001,,
http://www.wikidata.org/entity/Q101206096,Birminadka,G14016016,,
http://www.wikidata.org/entity/Q101206059,Kuntikana,G14016003,,
http://www.wikidata.org/entity/Q101206232,Bedira,G14006015,,
http://www.wikidata.org/entity/Q101206102,Kunjar,G14016018,,
http://www.wikidata.org/entity/Q101206090,Pattaje,G14016014,,
http://www.wikidata.org/entity/Q101206337,Chithari,G14023021,,
http://www.wikidata.org/entity/Q101206341,Athikkadavu,G14029002,,
http://www.wikidata.org/entity/Q101206223,Kundoochi,G14006007,,
http://www.wikidata.org/entity/Q101206330,Ittammal,G14023015,,
http://www.wikidata.org/entity/Q101206327,Kizhakumkara,G14023012,,
http://www.wikidata.org/entity/Q101206226,Peringanam,G14006009,,
http://www.wikidata.org/entity/Q101206344,Maruthumkulam,G14029004,,
http://www.wikidata.org/entity/Q101206352,Muttomkadavu,G14029010,,
http://www.wikidata.org/entity/Q13111405,Koothattukulam Municipality,M07067,M071200,272881
http://www.wikidata.org/entity/Q101205775,Baja,G14002002,,
http://www.wikidata.org/entity/Q20578190,Guruvayur Municipality,M08036,M080100,252184
http://www.wikidata.org/entity/Q16134131,Kalamassery Municipality,M07026,M070100,252224
http://www.wikidata.org/entity/Q101206105,Bela,G14016019,,
http://www.wikidata.org/entity/Q13114048,Mavelikara Municipality,M04012,M040200,252250
http://www.wikidata.org/entity/Q101206066,Pallathadka,G14016005,,
http://www.wikidata.org/entity/Q101205782,Basthi,G14002008,,
http://www.wikidata.org/entity/Q101205787,Kinningar,G14002013,,
http://www.wikidata.org/entity/Q101206055,Kilingar,G14016001,,
http://www.wikidata.org/entity/Q101206233,Kundamkuzhy,G14006016,,
http://www.wikidata.org/entity/Q101206227,Pulikkod,G14006010,,
http://www.wikidata.org/entity/Q101206338,Barikkad,G14023022,,
http://www.wikidata.org/entity/Q101206328,Thulichery,G14023013,,
http://www.wikidata.org/entity/Q101206350,Maikkayam,G14029008,,
http://www.wikidata.org/entity/Q101206356,Kariyotchal,G14029012,,
http://www.wikidata.org/entity/Q101206325,Pallot,G14023011,,
http://www.wikidata.org/entity/Q101205780,Kakkebettu,G14002006,,
http://www.wikidata.org/entity/Q101206077,Badiadka,G14016009,,
http://www.wikidata.org/entity/Q101206062,Kuntalmoola,G14016004,,
http://www.wikidata.org/entity/Q101206099,Malladka,G14016017,,
http://www.wikidata.org/entity/Q101206222,Chembakkad,G14006006,,
http://www.wikidata.org/entity/Q101206322,Kattukulangara,G14023008,,
http://www.wikidata.org/entity/Q101206346,Darkkas,G14029006,,
http://www.wikidata.org/entity/Q101206333,Muttumthala,G14023018,,
http://www.wikidata.org/entity/Q101206231,Tharamthatta,G14006014,,
http://www.wikidata.org/entity/Q101206217,Varikkulam,G14006002,,
http://www.wikidata.org/entity/Q23307869,Wadakanchery Municipality,M08068,M080700,272909
http://www.wikidata.org/entity/Q101206353,Malom,G14029011,,
http://www.wikidata.org/entity/Q101206359,Vellarikundu,G14029014,,
http://www.wikidata.org/entity/Q101205785,Kaimala,G14002011,,
http://www.wikidata.org/entity/Q101205776,Koladapara,G14002003,,
http://www.wikidata.org/entity/Q101205777,Maradamoola,G14002004,,
http://www.wikidata.org/entity/Q101205786,Panayala,G14002012,,
http://www.wikidata.org/entity/Q101206332,Ajanur Kadappuram,G14023017,,
http://www.wikidata.org/entity/Q101206340,Edathode,G14029001,,
http://www.wikidata.org/entity/Q101206336,Mallikamad,G14023020,,
http://www.wikidata.org/entity/Q101206314,Ravaneshwaram,G14023001,,
http://www.wikidata.org/entity/Q101206093,Manya,G14016015,,
http://www.wikidata.org/entity/Q101129050,Alagappanagar,B08087013,,
http://www.wikidata.org/entity/Q101206216,Kallali,G14006001,,
http://www.wikidata.org/entity/Q101194584,Alagappanagar,G08062017,,
http://www.wikidata.org/entity/Q101206225,Bedakam,G14006008,,
http://www.wikidata.org/entity/Q101206085,Perdala,G14016012,,
http://www.wikidata.org/entity/Q101206082,Chedekal,G14016011,,
http://www.wikidata.org/entity/Q101206318,Manikoth,G14023005,,
http://www.wikidata.org/entity/Q101206335,Mattummal,G14023019,,
http://www.wikidata.org/entity/Q101206361,Kanakappally,G14029016,,
http://www.wikidata.org/entity/Q101206316,Velashwaram,G14023003,,
http://www.wikidata.org/entity/Q101206219,Karakkad,G14006004,,
http://www.wikidata.org/entity/Q101206323,Mavungal,G14023009,,
http://www.wikidata.org/entity/Q101206329,Athinhal,G14023014,,
http://www.wikidata.org/entity/Q101206349,Puncha,G14029007,,
http://www.wikidata.org/entity/Q101206324,Ramnagar,G14023010,,
http://www.wikidata.org/entity/Q13112589,Thrikkakara Municipality,M07030,M070900,259708
http://www.wikidata.org/entity/Q101205778,Nettanige,G14002005,,
http://www.wikidata.org/entity/Q101206057,Neerchal,G14016002,,
http://www.wikidata.org/entity/Q101206319,Adot,G14023006,,
http://www.wikidata.org/entity/Q101206321,Vellikoth,G14023007,,
http://www.wikidata.org/entity/Q101206191,Chemnad,G14019001,,
http://www.wikidata.org/entity/Q101206358,Anamanjal,G14029013,,
http://www.wikidata.org/entity/Q101206345,Chully,G14029005,,
http://www.wikidata.org/entity/Q101206075,Vidyagiri,G14016008,,
http://www.wikidata.org/entity/Q101206331,Kolavayal,G14023016,,
http://www.wikidata.org/entity/Q101206234,Perladukkam,G14006017,,
http://www.wikidata.org/entity/Q101206360,Kallanchira,G14029015,,
http://www.wikidata.org/entity/Q13110382,Ittiva Grama Panchayat,G02061,G021104,221308
http://www.wikidata.org/entity/Q13114820,Vellarada Grama Panchayat,G01007,G010907,221800
http://www.wikidata.org/entity/Q16137854,Mylapra Grama Panchayat,G03038,G030604,221713
http://www.wikidata.org/entity/Q16133696,Anchuthengu Grama Panchayat,G01061,G010301,221756
http://www.wikidata.org/entity/Q23307850,Balaramapuram Grama Panchayat,G01021,G010801,221780
http://www.wikidata.org/entity/Q13114631,Vamanapuram Grama Panchayat,G01045,G010404,221808
http://www.wikidata.org/entity/Q13110254,Aryancode Grama Panchayat,G01011,G010904,221794
http://www.wikidata.org/entity/Q16135943,Kudayathoor Grama Panchayat,G06028,G060407,221146
http://www.wikidata.org/entity/Q4784452,Arattupuzha Grama Panchayat,G04070,G041205,221015
