Ward No,Ward Name,District Name,LSG Qid,Name in English,Name in Malyalam,LSG localbody code,Position,Party,Reservation
1,Kappil,Thiruvananthapuram ,Q20583855,Varkkala Block Panchayat,വർക്കല ബ്ലോക്ക് പഞ്ചായത്ത്,B010100,Member,CPI(M),General
2,Elakamon,Thiruvananthapuram ,Q20583855,Varkkala Block Panchayat,വർക്കല ബ്ലോക്ക് പഞ്ചായത്ത്,B010100,Member,CPI(M),Woman
3,Palayamkunnu,Thiruvananthapuram ,Q20583855,Varkkala Block Panchayat,വർക്കല ബ്ലോക്ക് പഞ്ചായത്ത്,B010100,Member,CPI(M),Woman
4,Chemmaruthy,Thiruvananthapuram ,Q20583855,Varkkala Block Panchayat,വർക്കല ബ്ലോക്ക് പഞ്ചായത്ത്,B010100,Member,CPI(M),Woman
5,Muttappalam,Thiruvananthapuram ,Q20583855,Varkkala Block Panchayat,വർക്കല ബ്ലോക്ക് പഞ്ചായത്ത്,B010100,Member,INC,Woman
6,Vadasserikkonam,Thiruvananthapuram ,Q20583855,Varkkala Block Panchayat,വർക്കല ബ്ലോക്ക് പഞ്ചായത്ത്,B010100,Member,CPI(M),General
7,Ottoor,Thiruvananthapuram ,Q20583855,Varkkala Block Panchayat,വർക്കല ബ്ലോക്ക് പഞ്ചായത്ത്,B010100,Vice President,CPI(M),Woman
8,Manamboor,Thiruvananthapuram ,Q20583855,Varkkala Block Panchayat,വർക്കല ബ്ലോക്ക് പഞ്ചായത്ത്,B010100,Member,INC,General
9,Kavalayoor,Thiruvananthapuram ,Q20583855,Varkkala Block Panchayat,വർക്കല ബ്ലോക്ക് പഞ്ചായത്ത്,B010100,Member,CPI(M),Woman
10,Cherunniyoor,Thiruvananthapuram ,Q20583855,Varkkala Block Panchayat,വർക്കല ബ്ലോക്ക് പഞ്ചായത്ത്,B010100,Member,CPI(M),General
11,Vennicode,Thiruvananthapuram ,Q20583855,Varkkala Block Panchayat,വർക്കല ബ്ലോക്ക് പഞ്ചായത്ത്,B010100,Member,CPI,SC Woman
12,Vettoor,Thiruvananthapuram ,Q20583855,Varkkala Block Panchayat,വർക്കല ബ്ലോക്ക് പഞ്ചായത്ത്,B010100,President,CPI(M),General
13,Edava,Thiruvananthapuram ,Q20583855,Varkkala Block Panchayat,വർക്കല ബ്ലോക്ക് പഞ്ചായത്ത്,B010100,Member,CPI,SC
1,Pallickal,Thiruvananthapuram ,Q13111249,Kilimanoor Block Panchayat,കിളിമാനൂർ ബ്ലോക്ക് പഞ്ചായത്ത്,B010200,Member,CPI(M),Woman
2,Madavoor,Thiruvananthapuram ,Q13111249,Kilimanoor Block Panchayat,കിളിമാനൂർ ബ്ലോക്ക് പഞ്ചായത്ത്,B010200,Member,CPI,SC
3,Thumbode,Thiruvananthapuram ,Q13111249,Kilimanoor Block Panchayat,കിളിമാനൂർ ബ്ലോക്ക് പഞ്ചായത്ത്,B010200,President,CPI(M),Woman
4,Ponganadu,Thiruvananthapuram ,Q13111249,Kilimanoor Block Panchayat,കിളിമാനൂർ ബ്ലോക്ക് പഞ്ചായത്ത്,B010200,Member,CPI(M),Woman
5,Kilimanoor,Thiruvananthapuram ,Q13111249,Kilimanoor Block Panchayat,കിളിമാനൂർ ബ്ലോക്ക് പഞ്ചായത്ത്,B010200,Member,CPI,SC
6,Pazhayakunnummel,Thiruvananthapuram ,Q13111249,Kilimanoor Block Panchayat,കിളിമാനൂർ ബ്ലോക്ക് പഞ്ചായത്ത്,B010200,Member,CPI,General
7,Manjappara,Thiruvananthapuram ,Q13111249,Kilimanoor Block Panchayat,കിളിമാനൂർ ബ്ലോക്ക് പഞ്ചായത്ത്,B010200,Member,CPI(M),General
8,Pulimath,Thiruvananthapuram ,Q13111249,Kilimanoor Block Panchayat,കിളിമാനൂർ ബ്ലോക്ക് പഞ്ചായത്ത്,B010200,Member,CPI(M),General
9,Koduvazhanoor,Thiruvananthapuram ,Q13111249,Kilimanoor Block Panchayat,കിളിമാനൂർ ബ്ലോക്ക് പഞ്ചായത്ത്,B010200,Member,INC,General
10,Nagaroor,Thiruvananthapuram ,Q13111249,Kilimanoor Block Panchayat,കിളിമാനൂർ ബ്ലോക്ക് പഞ്ചായത്ത്,B010200,Member,CPI(M),Woman
11,Vellallor,Thiruvananthapuram ,Q13111249,Kilimanoor Block Panchayat,കിളിമാനൂർ ബ്ലോക്ക് പഞ്ചായത്ത്,B010200,Member,CPI(M),General
12,Vanchiyoor,Thiruvananthapuram ,Q13111249,Kilimanoor Block Panchayat,കിളിമാനൂർ ബ്ലോക്ക് പഞ്ചായത്ത്,B010200,Vice President,CPI(M),General
13,Karavaram,Thiruvananthapuram ,Q13111249,Kilimanoor Block Panchayat,കിളിമാനൂർ ബ്ലോക്ക് പഞ്ചായത്ത്,B010200,Member,CPI,General
14,Navaikulam,Thiruvananthapuram ,Q13111249,Kilimanoor Block Panchayat,കിളിമാനൂർ ബ്ലോക്ക് പഞ്ചായത്ത്,B010200,Member,INC,General
15,Thrikkovilvattam,Thiruvananthapuram ,Q13111249,Kilimanoor Block Panchayat,കിളിമാനൂർ ബ്ലോക്ക് പഞ്ചായത്ത്,B010200,Member,INC,Woman
